#;Date E;Heure E;Date S;Heure S;Durée de trade ;Bot;Score;Symbol;Direction;Entry_Prix;Exit_Prix;PnL_Net;Exit_Raison;Notes;Notes 2;Total PnL;PNL Long;PNL Short;Total Long;Total Short;PnL TPDe;PnL SLDe;PnL BE
211;;;;;0h 0m;;;;;;;;;;;;;;;;;;
212;;;;;0h 0m;;;;;;;;;;;;;;;;;;
213;;;;;0h 0m;;;;;;;;;;;;;;;;;;
214;;;;;0h 0m;;;;;;;;;;;;;;;;;;
215;;;;;0h 0m;;;;;;;;;;;;;;;;;;
216;;;;;0h 0m;;;;;;;;;;;;;;;;;;
217;;;;;0h 0m;;;;;;;;;;;;;;;;;;
218;;;;;0h 0m;;;;;;;;;;;;;;;;;;
219;;;;;0h 0m;;;;;;;;;;;;;;;;;;
220;;;;;0h 0m;;;;;;;;;;;;;;;;;;
221;;;;;0h 0m;;;;;;;;;;;;;;;;;;
222;;;;;0h 0m;;;;;;;;;;;;;;;;;;
223;;;;;0h 0m;;;;;;;;;;;;;;;;;;
224;;;;;0h 0m;;;;;;;;;;;;;;;;;;
225;;;;;0h 0m;;;;;;;;;;;;;;;;;;
226;;;;;0h 0m;;;;;;;;;;;;;;;;;;
227;;;;;0h 0m;;;;;;;;;;;;;;;;;;
228;;;;;0h 0m;;;;;;;;;;;;;;;;;;
229;;;;;0h 0m;;;;;;;;;;;;;;;;;;
230;;;;;0h 0m;;;;;;;;;;;;;;;;;;
231;;;;;0h 0m;;;;;;;;;;;;;;;;;;
232;;;;;0h 0m;;;;;;;;;;;;;;;;;;
233;;;;;0h 0m;;;;;;;;;;;;;;;;;;
234;;;;;0h 0m;;;;;;;;;;;;;;;;;;
235;;;;;0h 0m;;;;;;;;;;;;;;;;;;
236;;;;;0h 0m;;;;;;;;;;;;;;;;;;
237;;;;;0h 0m;;;;;;;;;;;;;;;;;;
239;;;;;0h 0m;;;;;;;;;;;;;;;;;;
240;;;;;0h 0m;;;;;;;;;;;;;;;;;;
241;;;;;0h 0m;;;;;;;;;;;;;;;;;;
242;;;;;0h 0m;;;;;;;;;;;;;;;;;;
243;;;;;0h 0m;;;;;;;;;;;;;;;;;;
244;;;;;0h 0m;;;;;;;;;;;;;;;;;;
245;;;;;0h 0m;;;;;;;;;;;;;;;;;;
246;;;;;0h 0m;;;;;;;;;;;;;;;;;;
247;;;;;0h 0m;;;;;;;;;;;;;;;;;;
248;;;;;0h 0m;;;;;;;;;;;;;;;;;;
249;;;;;0h 0m;;;;;;;;;;;;;;;;;;
250;;;;;0h 0m;;;;;;;;;;;;;;;;;;
251;;;;;0h 0m;;;;;;;;;;;;;;;;;;
252;;;;;0h 0m;;;;;;;;;;;;;;;;;;
253;;;;;0h 0m;;;;;;;;;;;;;;;;;;
254;20/01/2026;;;;;;;;;;;;;;;;;;;;;;
